name;category;city;address;street;house_number;house
tortillas;tex-mex;atlanta;774 ponce de leon ave. ne;ponce de leon ave. ne;774;
van gogh\s restaurant & bar';american (new);roswell;70 w. crossville rd.;w. crossville rd.;70;
veggieland;vegetarian;atlanta;220 sandy springs circle;sandy springs circle;220;
white house restaurant;diners;atlanta;3172 peachtree rd. ne;peachtree rd. ne;3172;
zab-e-lee;thai;college park;4837 old national highway;old national highway;4837;
bill\s place';hamburgers;san francisco;2315 clement st.;clement st.;2315;
cafe flore;californian;san francisco;2298 market st.;market st.;2298;
caffe greco;continental;san francisco;423 columbus avenue;columbus avenue;423;
campo santo;mexican;san francisco;240 columbus avenue;columbus avenue;240;
cha cha cha\s';caribbean;san francisco;1805 haight st.;haight st.;1805;
doidge\s';american;san francisco;2217 union st.;union st.;2217;
dottie\s true blue cafe';diners;san francisco;522 jones st.;jones st.;522;
dusit thai;thai;san francisco;3221 mission st.;mission st.;3221;
ebisu;japanese;san francisco;1283 ninth ave.;ninth ave.;1283;
emerald garden restaurant;vietnamese;san francisco;1550 california st.;california st.;1550;
eric\s chinese restaurant';chinese;san francisco;1500 church st.;church st.;1500;
hamburger mary\s';hamburgers;san francisco;1582 folsom st.;folsom st.;1582;
kelly\s on trinity';californian;san francisco;333 bush st.;bush st.;333;
la cumbre;mexican;san francisco;515 valencia st.;valencia st.;515;
la mediterranee;mediterranean;san francisco;288 noe st.;noe st.;288;
la taqueria;mexican;san francisco;2889 mission st.;mission st.;2889;
mario\s bohemian cigar store cafe';italian;san francisco;2209 polk st.;polk st.;2209;
marnee thai;thai;san francisco;2225 irving st.;irving st.;2225;
mel\s drive-in';hamburgers;san francisco;3355 geary st.;geary st.;3355;
mo\s burgers';hamburgers;san francisco;1322 grant st.;grant st.;1322;
phnom penh cambodian restaurant;cambodian;san francisco;631 larkin st.;larkin st.;631;
roosevelt tamale parlor;mexican;san francisco;2817 24th st.;24th st.;2817;
sally\s cafe & bakery';american;san francisco;300 de haro st.;de haro st.;300;
san francisco bbq;thai;san francisco;1328 18th st.;18th st.;1328;
slanted door;vietnamese;san francisco;584 valencia st.;valencia st.;584;
swan oyster depot;seafood;san francisco;1517 polk st.;polk st.;1517;
thep phanom;thai;san francisco;400 waller st.;waller st.;400;
ti couz;french;san francisco;3108 16th st.;16th st.;3108;
trio cafe;american;san francisco;1870 fillmore st.;fillmore st.;1870;
tu lan;vietnamese;san francisco;8 sixth st.;sixth st.;8;
vicolo pizzeria;pizza;san francisco;201 ivy st.;ivy st.;201;
wa-ha-ka oaxaca mexican grill;mexican;san francisco;2141 polk st.;polk st.;2141;
arnie morton\s of chicago';steakhouses;los angeles;435 s. la cienega blvd.;s. la cienega blvd.;435;
art\s deli';delis;studio city;12224 ventura boulevard;ventura boulevard;12224;
bel-air hotel;californian;bel air;701 stone canyon road;stone canyon road;701;
cafe bizou;french bistro;sherman oaks;14016 ventura boulevard;ventura boulevard;14016;
campanile;californian;los angeles;624 s. la brea ave.;s. la brea ave.;624;
chinois on main;pacific new wave;santa monica;2709 main st.;main st.;2709;
citrus;californian;los angeles;6703 melrose avenue;melrose avenue;6703;
fenix at the argyle;french (new);w. hollywood;8358 sunset boulevard;sunset boulevard;8358;
granita;californian;malibu;23725 w. malibu rd.;w. malibu rd.;23725;
grill  the;american (traditional);beverly hills;9560 dayton way;dayton way;9560;
katsu;japanese;los feliz;1972 hillhurst avenue;hillhurst avenue;1972;
l\orangerie';french (classic);w. hollywood;903 n. la cienega blvd.;n. la cienega blvd.;903;
le chardonnay (los angeles);french bistro;los angeles;8284 melrose avenue;melrose avenue;8284;
locanda veneta;italian;los angeles;8638 w. third st.;w. third st.;8638;
matsuhisa;seafood;beverly hills;129 n. la cienega blvd.;n. la cienega blvd.;129;
palm  the (los angeles);steakhouses;w. hollywood;9001 santa monica boulevard;santa monica boulevard;9001;
patina;californian;los angeles;5955 melrose avenue;melrose avenue;5955;
philippe the original;cafeterias;chinatown;1001 n. alameda st.;n. alameda st.;1001;
pinot bistro;french bistro;studio city;12969 ventura boulevard;ventura boulevard;12969;
rex il ristorante;nuova cucina italian;los angeles;617 s. olive st.;s. olive st.;617;
spago (los angeles);californian;w. hollywood;8795 sunset boulevard;sunset boulevard;8795;
valentino;italian;santa monica;3115 pico boulevard;pico boulevard;3115;
yujean kang\s';chinese;pasadena;67 n. raymond ave.;n. raymond ave.;67;
21 club;american (new);new york city;21 w. 52nd st.;w. 52nd st.;21;
aquavit;scandinavian;new york city;13 w. 54th st.;w. 54th st.;13;
aureole;american (new);new york city;34 e. 61st st.;e. 61st st.;34;
cafe lalo;coffeehouses;new york city;201 w. 83rd st.;w. 83rd st.;201;
cafe des artistes;french (classic);new york city;1 w. 67th st.;w. 67th st.;1;
carmine\s';italian;new york city;2450 broadway;broadway;2450;
carnegie deli;delis;new york city;854 seventh ave.;seventh ave.;854;
chanterelle;french (new);new york city;2 harrison st.;harrison st.;2;
daniel;french (new);new york city;20 e. 76th st.;e. 76th st.;20;
dawat;indian;new york city;210 e. 58th st.;e. 58th st.;210;
felidia;italian;new york city;243 e. 58th st.;e. 58th st.;243;
four seasons;american (new);new york city;99 e. 52nd st.;e. 52nd st.;99;
gotham bar & grill;american (new);new york city;12 e. 12th st.;e. 12th st.;12;
gramercy tavern;american (new);new york city;42 e. 20th st.;e. 20th st.;42;
island spice;caribbean;new york city;402 w. 44th st.;w. 44th st.;402;
jo jo;french bistro;new york city;160 e. 64th st.;e. 64th st.;160;
la caravelle;french (classic);new york city;33 w. 55th st.;w. 55th st.;33;
la cote basque;french (classic);new york city;60 w. 55th st.;w. 55th st.;60;
le bernardin;seafood;new york city;155 w. 51st st.;w. 51st st.;155;
les celebrites;french (classic);new york city;155 w. 58th st.;w. 58th st.;155;
lespinasse (new york city);asian;new york city;2 e. 55th st.;e. 55th st.;2;
lutece;french (classic);new york city;249 e. 50th st.;e. 50th st.;249;
manhattan ocean club;seafood;new york city;57 w. 58th st.;w. 58th st.;57;
march;american (new);new york city;405 e. 58th st.;e. 58th st.;405;
mesa grill;southwestern;new york city;102 fifth ave.;fifth ave.;102;
mi cocina;mexican;new york city;57 jane st.;jane st.;57;
montrachet;french bistro;new york city;239 w. broadway;w. broadway;239;
oceana;seafood;new york city;55 e. 54th st.;e. 54th st.;55;
park avenue cafe (new york city);american (new);new york city;100 e. 63rd st.;e. 63rd st.;100;
petrossian;russian;new york city;182 w. 58th st.;w. 58th st.;182;
picholine;mediterranean;new york city;35 w. 64th st.;w. 64th st.;35;
pisces;seafood;new york city;95 avenue a;avenue a;95;
rainbow room;american (new);new york city;30 rockefeller plaza;;;30 rockefeller plaza
river cafe;american (new);brooklyn;1 water st.;water st.;1;
san domenico;italian;new york city;240 central park s.;central park s.;240;
second avenue deli;delis;new york city;156 second ave.;second ave.;156;
seryna;japanese;new york city;11 e. 53rd st.;e. 53rd st.;11;
shun lee palace;chinese;new york city;155 e. 55th st.;e. 55th st.;155;
sign of the dove;american (new);new york city;1110 third ave.;third ave.;1110;
smith & wollensky;steakhouses;new york city;797 third ave.;third ave.;797;
tavern on the green;american (new);new york city;central park west;;;central park west
uncle nick\s';greek;new york city;747 ninth ave.;ninth ave.;747;
union square cafe;american (new);new york city;21 e. 16th st.;e. 16th st.;21;
virgil\s real bbq';bbq;new york city;152 w. 44th st.;w. 44th st.;152;
chin\s';chinese;las vegas;3200 las vegas blvd. s.;las vegas blvd. s.;3200;
coyote cafe (las vegas);southwestern;las vegas;3799 las vegas blvd. s.;las vegas blvd. s.;3799;
le montrachet bistro;french bistro;las vegas;3000 paradise road;paradise road;3000;
palace court;french (new);las vegas;3570 las vegas blvd. s.;las vegas blvd. s.;3570;
second street grill;pacific rim;las vegas;200 e. fremont st.;e. fremont st.;200;
steak house  the;steakhouses;las vegas;2880 las vegas blvd. s.;las vegas blvd. s.;2880;
tillerman  the;steakhouses;las vegas;2245 e. flamingo rd.;e. flamingo rd.;2245;
abruzzi;italian;atlanta;2355 peachtree rd. ne;peachtree rd. ne;2355;
bacchanalia;californian;atlanta;3125 piedmont road;piedmont road;3125;
bone\s restaurant';steakhouses;atlanta;3130 piedmont rd. ne;piedmont rd. ne;3130;
brasserie le coze;french bistro;atlanta;3393 peachtree road;peachtree road;3393;
buckhead diner;american (new);atlanta;3073 piedmont road;piedmont road;3073;
ciboulette restaurant;french (new);atlanta;1529 piedmont avenue;piedmont avenue;1529;
delectables;cafeterias;atlanta;1 margaret mitchell square;margaret mitchell square;1;
georgia grille;southwestern;atlanta;2290 peachtree road;peachtree road;2290;
hedgerose heights inn  the;continental;atlanta;490 e. paces ferry rd. ne;e. paces ferry rd. ne;490;
heera of india;indian;atlanta;595 piedmont avenue;piedmont avenue;595;
indigo coastal grill;eclectic;atlanta;1397 n. highland ave.;n. highland ave.;1397;
la grotta;italian;atlanta;2637 peachtree rd. ne;peachtree rd. ne;2637;
mary mac\s tea room';southern/soul;atlanta;224 ponce de leon ave.;ponce de leon ave.;224;
nikolai\s roof';continental;atlanta;255 courtland st.;courtland st.;255;
pano\s & paul\'s';american (new);atlanta;1232 w. paces ferry rd.;w. paces ferry rd.;1232;
ritz-carlton cafe (buckhead);american (new);atlanta;3434 peachtree rd. ne;peachtree rd. ne;3434;
ritz-carlton dining room (buckhead);american (new);atlanta;3434 peachtree rd. ne;peachtree rd. ne;3434;
ritz-carlton restaurant;french (classic);atlanta;181 peachtree st.;peachtree st.;181;
toulouse;french (new);atlanta;293-b peachtree rd.;peachtree rd.;293-b;
veni vidi vici;italian;atlanta;41 14th st.;14th st.;41;
alain rondelli;french (new);san francisco;126 clement st.;clement st.;126;
aqua;american (new);san francisco;252 california st.;california st.;252;
boulevard;american (new);san francisco;1 mission st.;mission st.;1;
cafe claude;french bistro;san francisco;7 claude ln.;claude ln.;7;
campton place;american (new);san francisco;340 stockton st.;stockton st.;340;
chez michel;californian;san francisco;804 north point st.;north point st.;804;
fleur de lys;french (new);san francisco;777 sutter st.;sutter st.;777;
fringale;french bistro;san francisco;570 fourth st.;fourth st.;570;
hawthorne lane;californian;san francisco;22 hawthorne st.;hawthorne st.;22;
khan toke thai house;thai;san francisco;5937 geary boulevard;geary boulevard;5937;
la folie;french (new);san francisco;2316 polk st.;polk st.;2316;
lulu restaurant-bis-cafe;mediterranean;san francisco;816 folsom st.;folsom st.;816;
masa\s';french (new);san francisco;648 bush st.;bush st.;648;
mifune;japanese;san francisco;1737 post st.;post st.;1737;
plumpjack cafe;american (new);san francisco;3127 fillmore st.;fillmore st.;3127;
postrio;californian;san francisco;545 post st.;post st.;545;
ritz-carlton dining room (san francisco);french (new);san francisco;600 stockton st.;stockton st.;600;
rose pistola;italian;san francisco;532 columbus avenue;columbus avenue;532;
ritz-carlton cafe (atlanta);american (new);atlanta;181 peachtree st.;peachtree st.;181;
